Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,TC_HOME_ACC_001,Homepage SAA,Check authentication,Homepage,Authenticated landing,Verify authenticated user lands on Homepage with logged-in header controls,User logged in via Google,,"1. Log in
2. Observe redirect",Homepage SAA shown with profile/notification/language controls,Yes,High,Access control and security,,,,
ACCESSING,TC_HOME_ACC_002,Homepage SAA,Check access permission,Profile menu,Admin role option,"Verify ""Admin Dashboard"" appears in profile menu only for admin role",Logged in,Admin user; non-admin user,"1. Open profile menu as admin
2. Open profile menu as non-admin","Admin sees ""Admin Dashboard""; non-admin does not",Yes,High,Access control and security,,,,
GUI,TC_HOME_GUI_001,Homepage SAA,Check layout,Screen-wide layout,Overall structure,"Verify overall layout: sticky header, hero (ROOT FURTHER + countdown + event info + CTAs), Root Further content, awards section, Kudos promo, footer, floating widget",Homepage open,,"1. Open Homepage
2. Compare sections against design",Layout matches design spec,Yes,High,User interface,,,,
GUI,TC_HOME_GUI_002,Homepage SAA,Initialize,Header nav,Active/inactive styling,"Verify ""About SAA 2025"" shows selected styling and other links show normal/hover styling",Homepage open,,"1. Observe nav bar
2. Hover a non-selected link","""About SAA 2025"" highlighted (yellow/underline); hovered link highlighted; others normal",Yes,Medium,User interface,,,,
GUI,TC_HOME_GUI_003,Homepage SAA,Initialize,Countdown,Default value/state,"Verify countdown shows DAYS/HOURS/MINUTES tiles with 2-digit 0-padded values and ""Coming soon"" subtitle before target","Homepage open, target in future",,1. Observe countdown,"3 tiles each 2 digits, labels DAYS/HOURS/MINUTES, ""Coming soon"" visible",Yes,Medium,User interface,,,,
GUI,TC_HOME_GUI_004,Homepage SAA,Check layout,Data-present state,With data,"Verify award grid renders 6 category cards, each with thumbnail, title, description, and ""Chi tiết"" link",Homepage open,,1. Scroll to awards section,"6 cards (Top Talent, Top Project, Top Project Leader, Best Manager, Signature 2025 - Creator, MVP) each with image/title/desc/Chi tiết",Yes,High,User interface,,,,
GUI,TC_HOME_GUI_005,Homepage SAA,Initialize,Award card description,Truncation,Verify card description shows max 2 lines with ellipsis when too long,"Homepage open, long description",,1. Inspect a card with long description,"Description clamped to 2 lines ending with ""...""",Yes,Low,User interface,,,,
GUI,TC_HOME_GUI_006,Homepage SAA,Initialize,Notification,Conditional visibility,Verify red unread badge shows only when there are unread notifications,Homepage open,With/without unread items,"1. View bell with unread
2. View bell with none",Badge shown when unread; hidden when none,Yes,Medium,User interface,,,,
GUI,TC_HOME_GUI_007,Homepage SAA,Check layout,Responsive,Breakpoints/layout reflow,Verify award grid reflows 3 cols (desktop) / 2 (tablet) / 1 (mobile) and event info wraps,Homepage open,,1. Resize to desktop/tablet/mobile widths,Grid columns and event-info wrapping match breakpoints,Yes,Medium,User interface,,,,
GUI,TC_HOME_GUI_008,Homepage SAA,Initialize,CTA buttons,Active/inactive styling,"Verify ""ABOUT AWARDS"" filled style and ""ABOUT KUDOS"" outline style",Homepage open,,1. Observe hero CTAs,ABOUT AWARDS filled; ABOUT KUDOS outline,Yes,Low,User interface,,,,
GUI,TC_HOME_GUI_009,Homepage SAA,Initialize,Widget button,Default value/state,"Verify floating widget pill fixed bottom-right with pencil icon, ""/"", SAA icon",Homepage open,,1. Observe bottom-right widget,Pill shown fixed bottom-right with expected icons,Yes,Low,User interface,,,,
FUNCTION,TC_HOME_FUN_001,Homepage SAA,Check navigation behavior,Header logo,Navigate,Verify clicking header logo goes to homepage top,Homepage open,,"1. Scroll down
2. Click logo",Navigated to top of Homepage,Yes,Medium,Normal_Others,,,,
FUNCTION,TC_HOME_FUN_002,Homepage SAA,Check navigation behavior,Nav link,Navigate,Verify nav links route to their pages,Homepage open,,"1. Click ""Awards Information""
2. Back, click ""Sun* Kudos""",Each link opens the corresponding page,Yes,High,Normal_Others,,,,
FUNCTION,TC_HOME_FUN_003,Homepage SAA,Check component interaction,Selected nav link,Scroll to top,"Verify clicking the already-selected ""About SAA 2025"" scrolls page to top","Homepage open, scrolled down",,"1. Scroll down
2. Click ""About SAA 2025""",Page scrolls to top,Yes,Low,Normal_Others,,,,
FUNCTION,TC_HOME_FUN_004,Homepage SAA,Check component interaction,Notification,Open,Verify clicking bell opens notification panel,Homepage open,,1. Click notification bell,Notification panel opens,Yes,Medium,Normal_Others,,,,
FUNCTION,TC_HOME_FUN_005,Homepage SAA,Check component interaction,Language switcher,Select,Verify selecting language switches interface language,Homepage open,Select EN,"1. Click language
2. Select EN",Interface language changes to EN,Yes,Medium,Normal_Others,,,,
FUNCTION,TC_HOME_FUN_006,Homepage SAA,Check component interaction,Profile menu,Open,Verify profile icon opens account menu with Profile / Sign out (and Admin Dashboard for admin),Logged in,,1. Click profile icon,Account menu opens with expected options,Yes,Medium,Normal_Others,,,,
FUNCTION,TC_HOME_FUN_007,Homepage SAA,Check navigation behavior,CTA buttons,Navigate,Verify hero CTAs route correctly,Homepage open,,"1. Click ""ABOUT AWARDS""
2. Back, click ""ABOUT KUDOS""",ABOUT AWARDS → Awards Information; ABOUT KUDOS → Sun* Kudos,Yes,High,Normal_Others,,,,
FUNCTION,TC_HOME_FUN_008,Homepage SAA,Check navigation behavior,Award card,Navigate,Verify clicking a card (image/title/Chi tiết) opens Awards Information at that category anchor,Homepage open,,"1. Click ""Top Talent"" card ""Chi tiết""",Awards Information opens with category hash anchor and scrolls to it,Yes,High,Normal_Others,,,,
