"No","itemId","nameJP","nameTrans","itemName","itemType","itemSubtype","buttonType","dataType","required","format","minLength","maxLength","defaultValue","validationNote","description","userAction","transitionNote","databaseTable","databaseColumn","databaseNote","qa","spec_progress"
"3.5","","Keyvisual","Keyvisual - Banner chính","","others","hero","","","false","","","","","","Banner chính trên trang chủ giới thiệu chủ đề 'ROOT FURTHER' và đồng hồ đếm ngược. Hiển thị: tiêu đề lớn 'ROOT FURTHER' (font rất lớn); dòng phụ 'Coming soon'; đồng hồ 3 module 'DAYS/HOURS/MINUTES'; thông tin sự kiện 'Thời gian: 18h30 / Địa điểm: Nhà hát nghệ thuật quân đội'; CTA 'ABOUT AWARDS' (hover) và 'ABOUT KUDOS' (normal); BG họa tiết rễ. Chức năng: click 'ABOUT AWARDS' → Awards Information; click 'ABOUT KUDOS' → Sun* Kudos; đồng hồ cập nhật thời gian thực, 0-padding. Responsive.","","","","","","","completed"
"3.5","2167:9027","Keyvisual BG","Hình nền Keyvisual (hero)","mms_3.5_Keyvisual","others","background","","","","","","","","","Full-screen dark BG image với root patterns, overlay tối, cover mode.","","","","","","","completed"
"6","","Widget Button","Nút Widget (hành động nhanh)","","button","","icon_text","","false","","","","","","Pill 105x64px nền vàng, bo tròn, icon bút chì trái + icon SAA phải, ký tự '/' phân cách. Click: mở quick action menu.","","","","","","","completed"
"7","","Footer","Chân trang","","others","navigation","","","false","","","","","","Logo (trái), nav links 'About SAA 2025'/'Awards Information'/'Sun* Kudos' (giữa), copyright 'Bản quyền thuộc vè Sun* © 2025' (phải). Hover/active state tương tự header.","","","","","","","completed"
"7.1","","LOGO","Logo Sun* Annual Awards","","others","logo","","","false","","","","","","Logo Sun* 69x64px, click về đầu trang.","","","","","","","completed"
"7.2","","Button-IC","Nút 'About SAA 2025'","","button","","text_link","","false","","","","","","Nav link text trong footer.","","","","","","","completed"
"7.3","","Button-IC","Nút 'Awards Information'","","button","","text_link","","false","","","","","","Nav link text trong footer.","","","","","","","completed"
"7.4","","Button-IC","Nút Sun* Kudos","","button","","text_link","","false","","","","","","Nav link text trong footer.","","","","","","","completed"
"7.5","","Button-IC","Nút Tiêu chuẩn chung","","button","","text_link","","false","","","","","","Nav link text trong footer.","","","","","","","completed"
"A1","","Header","Thanh Header (Điều hướng chính)","","others","navigation","","","true","","","","","","Logo trái; links 'About SAA 2025' (selected), 'Awards Information' (hover), 'Sun* Kudos' (normal); controls: notification bell, language 'VN', user icon. Sticky/fixed top.","","","","","","","completed"
"A1.1","","LOGO","Logo trang chủ","","button","","icon_text","","false","","","","","","Logo 64x60px, click → trang chủ.","","","","","","","completed"
"A1.2","","Button-Selected state","Nút 'About SAA 2025' (đang chọn)","","button","","text_link","","false","","","","","","Selected: text vàng + underline. Click khi selected → scroll lên đầu.","","","","","","","completed"
"A1.3","","Button Hover State","Nút 'Awards Information' - trạng thái hover","","button","","text_link","","false","","","","","","Hover: nền sáng highlight. Click → Awards Information.","","","","","","","completed"
"A1.5","","Button-Normal state","Nút 'Sun* Kudos'","","button","","text_link","","false","","","","","","Normal text. Click → Sun* Kudos.","","","","","","","completed"
"A1.6","","Notification","Nút Thông báo","","button","","icon_text","","false","","","","","","Icon chuông 40x40px, badge đỏ khi unread > 0. Click: mở panel.","","","","","","","completed"
"A1.7","","Language","Ngôn ngữ","","button","","icon_text","","false","","","","","","Hiển thị 'VN'. Click: menu VN/EN.","","","","","","","completed"
"A1.8","","Button-IC","Nút biểu tượng tài khoản","","button","","icon_text","","false","","","","","","Icon 40x40px. Click: menu Profile/Sign out/Admin Dashboard (admin role).","on_click","","","","","","completed"
"B1","","Countdown time","Đếm ngược thời gian","","others","countdown","","","false","","","","","","Tiêu đề 'Coming soon'; 3 nhóm số (DAYS/HOURS/MINUTES) 2 chữ số. Auto update mỗi phút. Khi về 0: ẩn 'Coming soon', giữ 00.","","","","","","","completed"
"B1.2","","Coming soon","Chữ 'Coming soon'","","label","","","","false","","","","","","Label tĩnh, ẩn khi countdown ≤ 0.","","","","","","","completed"
"B1.3","","Countdown","Đồng hồ đếm ngược","","others","countdown","","","false","","","","","","3 nhóm số 2 chữ số (0-padded), nhãn DAYS/HOURS/MINUTES.","","","","","","","completed"
"B1.3.1","","Ngày","Ô 'Days'","","others","countdown_tile","","","false","","","","","","2 chữ số + nhãn DAYS.","","","","","","","completed"
"B1.3.2","","Hours","Đơn vị 'HOURS'","","others","countdown_unit","","","false","","","","","","2 chữ số + nhãn HOURS.","","","","","","","completed"
"B1.3.3","","Minutes","Số phút","","others","countdown_unit","","","false","","","","","","2 chữ số + nhãn MINUTES.","","","","","","","completed"
"B2","","Thông tin sự kiện","Thông tin sự kiện","","others","info_block","","","false","","","","","","Nhãn 'Thời gian:'/'Địa điểm:'; giá trị '18h30'/'Nhà hát nghệ thuật quân đội'; ghi chú 'Tường thuật trực tiếp tại Group Facebook Sun* Family'. Static.","","","","","","","completed"
"B3","","Call-To-Action","CTA","","button","","text_link","","false","","","","","","'ABOUT AWARDS' nút vàng (hover), 'ABOUT KUDOS' nút viền (normal). Click navigate.","","","","","","","completed"
"B3.1","","Button-IC About","Nút 'ABOUT AWARDS'","","button","","icon_text","","false","","","","","","Click → Awards Information. State hover (vàng filled).","","","","","","","completed"
"B3.2","","Button-IC Kudos","Nút 'ABOUT KUDOS'","","button","","icon_text","","false","","","","","","Click → Sun* Kudos. State normal (outline).","","","","","","","completed"
"B4","","content","Đoạn mô tả 'Root Further'","","others","info_block","","","false","","","","","","Paragraph màu sáng trên nền tối, font trung bình. Static, responsive.","","","","","","","completed"
"B4","5001:14827","Root Further Content","Nội dung giới thiệu 'Root Further'","mms_B4_content","others","info_block","","","","","","","","","Large BG typography 'ROOT'/'FURTHER'; body paragraphs; quote 'A tree with deep roots fears no storm'. White on dark.","","","","","","","completed"
"C1","","Header Giải thưởng","Tiêu đề mục Giải thưởng","","others","info_block","","","false","","","","","","Caption 'Sun* annual awards 2025', title 'Hệ thống giải thưởng', subtitle 'Các hạng mục sẽ được trao giải theo TOP những người xuất sắc nhất.'","","","","","","","completed"
"C2","","Award list","Danh sách giải thưởng","","others","card","","","false","","","","","","6 award cards: Top Talent, Top Project, Top Project Leader, Best Manager, Signature 2025 - Creator, MVP. Mỗi card: thumbnail vuông + viền vàng + glow, title, mô tả 1-2 dòng, link 'Chi tiết'. Click → Awards Information#slug. Hover: lift + glow. Grid 3-col desktop / 2-col tablet+mobile.","","","","","","","completed"
"C2.1","","Top Talent","","","others","card","","","false","","","","","","Tiêu đề 'Top Talent', mô tả 'Vinh danh top cá nhân xuất sắc trên mọi phương diện'.","","","","","","","completed"
"C2.1.1","","Picture-Award","Hình Ảnh Giải Thưởng","","others","card","","","false","","","","","","Hình vuông bo góc, viền vàng + glow.","","","","","","","completed"
"C2.1.2","","Top Talent","","","label","","","","false","","","","","","Title text.","","","","","","","completed"
"C2.1.3","","","Mô tả Top Talent","","label","","","","false","","","","","","Mô tả 2 dòng, ellipsis nếu tràn.","","","","","","","completed"
"C2.1.4","","Button-IC","Nút 'Chi tiết'","","button","","icon_text","","false","","","","","","Click → Awards Information#slug.","","","","","","","completed"
"C2.2","","Top Project Award","","","others","card","","","false","","","","","","Card 'Top Project'.","","","","","","","completed"
"C2.3","","Top Project Leader Award","","","others","card","","","false","","","","","","Card 'Top Project Leader'.","","","","","","","completed"
"C2.4","","Giải Best Manager","Best Manager Award","","others","card","","","false","","","","","","Card 'Best Manager'.","","","","","","","completed"
"C2.5","","Signature 2025 - Creator Award","","","others","card","","","false","","","","","","Card 'Signature 2025 - Creator'.","","","","","","","completed"
"C2.6","","MVP Award","","","others","card","","","false","","","","","","Card 'MVP (Most Valuable Person)'.","","","","","","","completed"
"D1","","Sunkudos","Sun* Kudos - Phong trào ghi nhận","","others","card","","","false","","","","","","Label 'Phong trào ghi nhận', title 'Sun* Kudos', mô tả, nút 'Chi tiết'.","","","","","","","completed"
"D2","","Content","Khối nội dung 'Sun* Kudos'","","others","info_block","","","false","","","","","","Title lớn, sub 'Phong trào ghi nhận', mô tả, image phải, button 'Chi tiết'.","","","","","","","completed"
"D2.1","","Button-IC","Nút 'Chi tiết'","","button","","icon_text","","false","","","","","","Click → Sun* Kudos.","","","","","","","completed"
