Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,TC_LOGIN_ACC_001,Login,Check authentication,Login screen,Unauthenticated entry,Verify login page is reachable by an unauthenticated user as the app entry point,User is not logged in,,1. Open the Login page URL while signed out,Login page displayed,Yes,High,Access control and security,,,,
GUI,TC_LOGIN_GUI_001,Login,Check layout,Screen-wide layout,Overall structure,"Verify overall layout matches design: background key visual, header (SAA logo + language switcher), centered ROOT FURTHER key visual, welcome text, Google login button, footer copyright",Login page is open,,"1. Open Login page
2. Compare all elements against design",Layout matches design spec,Yes,High,User interface,,,,
GUI,TC_LOGIN_GUI_002,Login,Initialize,Language switcher,Default value/state,Verify language switcher defaults to VN with flag and chevron,Login page is open,,"1. Open Login page
2. Observe language switcher","Shows VN flag, label ""VN"", down chevron",Yes,Medium,User interface,,,,
GUI,TC_LOGIN_GUI_003,Login,Initialize,Login button,Default value/state,"Verify login button shows Google icon and label ""Đăng nhập bằng Google""",Login page is open,,"1. Open Login page
2. Observe login button","Button shows Google icon and label ""Đăng nhập bằng Google""",Yes,High,User interface,,,,
GUI,TC_LOGIN_GUI_004,Login,Initialize,Login button,Disabled boundary state,Verify login button is disabled and shows spinner while authentication is in progress,Login page is open,,"1. Click login button
2. Observe button during auth","Button disabled, spinner shown",Yes,Medium,User interface,,,,
FUNCTION,TC_LOGIN_FUN_001,Login,Check component interaction,Login button,Submit,Verify clicking login button starts Google OAuth and a successful login redirects to Homepage,User is not logged in,Valid Google account,"1. Click ""Đăng nhập bằng Google""
2. Complete Google OAuth with valid account",Redirected to Homepage SAA,Yes,High,Normal_Login,,,,
FUNCTION,TC_LOGIN_FUN_002,Login,Check error handling,Login button,Auth failure,Verify a failed Google OAuth shows an error message,User is not logged in,Google account that cancels/fails auth,"1. Click ""Đăng nhập bằng Google""
2. Cancel or fail Google OAuth","Error message displayed, remains on Login",Yes,High,Abnormal_Login,,,,
FUNCTION,TC_LOGIN_FUN_003,Login,Check state transition,Login button,Loading,Verify button enters loading state during authentication,User is not logged in,,"1. Click login button
2. Observe state during auth",Spinner shown and button disabled until auth resolves,Yes,Medium,Normal_Login,,,,
FUNCTION,TC_LOGIN_FUN_004,Login,Check navigation behavior,Logo,Navigate,Verify clicking the SAA logo navigates to the homepage,Login page is open,,1. Click SAA logo,Navigated to homepage,Yes,Medium,Normal_Others,,,,
FUNCTION,TC_LOGIN_FUN_005,Login,Check component interaction,Language switcher,Open,Verify clicking language switcher opens the language dropdown,Login page is open,,1. Click language switcher,"Language dropdown opens with options VN, EN",Yes,Medium,Normal_Others,,,,
FUNCTION,TC_LOGIN_FUN_006,Login,Check component interaction,Language switcher,Select,Verify selecting a language updates the interface language and closes the dropdown,Language dropdown is open,Select EN,"1. Open language switcher
2. Select EN","Interface language updated, dropdown closed",Yes,Medium,Normal_Others,,,,
