Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
GUI,TC_WRITEKUDO_GUI_001,Viết Kudo,Check layout,Screen-wide layout,Overall structure,"Verify modal layout: title, recipient field (*), editor toolbar, content textarea, hashtag field (*), image upload, anonymous toggle, footer Hủy/Gửi",Modal open,,"1. Open send-kudos modal
2. Compare against design",Layout matches design spec,Yes,High,User interface,,,,
GUI,TC_WRITEKUDO_GUI_002,Viết Kudo,Initialize,Recipient search,Placeholder text,Verify recipient search shows placeholder and dropdown arrow,Modal open,,1. Observe recipient field,"Placeholder ""Tìm kiếm"" with dropdown arrow",Yes,Medium,User interface,,,,
GUI,TC_WRITEKUDO_GUI_003,Viết Kudo,Initialize,Content textarea,Placeholder text,Verify content textarea placeholder,Modal open,,1. Observe content textarea,"Placeholder ""Hãy gửi gắm lời cám ơn và ghi nhận đến đồng đội tại đây nhé!""",Yes,Medium,User interface,,,,
GUI,TC_WRITEKUDO_GUI_004,Viết Kudo,Initialize,Mention hint,Default value/state,Verify mention hint always shown under textarea,Modal open,,1. Observe area under textarea,"Hint ""Bạn có thể """"@ + tên"""" để nhắc tới đồng nghiệp khác"" shown",Yes,Low,User interface,,,,
GUI,TC_WRITEKUDO_GUI_005,Viết Kudo,Initialize,Add controls,Default value/state,"Verify ""+ Hashtag"" and ""+ Image"" buttons with ""Tối đa 5"" notes",Modal open,,1. Observe hashtag and image sections,"""+ Hashtag"" and ""+ Image"" buttons shown, each with ""Tối đa 5"" note",Yes,Low,User interface,,,,
GUI,TC_WRITEKUDO_GUI_006,Viết Kudo,Initialize,Send button,Disabled boundary state,"Verify ""Gửi"" disabled when required fields empty, enabled when all filled",Modal open,,"1. Open modal with empty required fields
2. Fill recipient, content, hashtag","""Gửi"" disabled initially; enabled once required fields filled",Yes,High,User interface,,,,
FUNCTION,TC_WRITEKUDO_FUN_001,Viết Kudo,Check component interaction,Recipient search,Search,Verify typing filters the Sunner autocomplete and selecting populates the field,Modal open,Existing Sunner name,"1. Type part of a name
2. Select a result",List filters by keyword; field populated with selected Sunner,Yes,High,Normal_Others,,,,
FUNCTION,TC_WRITEKUDO_FUN_002,Viết Kudo,Check data validation,Recipient,Required,Verify recipient is required and must be a valid Sunner,Modal open,Valid Sunner; empty,"1. Select a valid Sunner and check
2. Leave empty and try to submit",Valid selection accepted; empty shows red border + error and blocks submit,Yes,High,Abnormal_Others,,,,
FUNCTION,TC_WRITEKUDO_FUN_003,Viết Kudo,Check data validation,Content,Required,Verify content is required,Modal open,Non-empty text; empty,"1. Enter content and check
2. Clear content and try to submit",Non-empty accepted; empty blocks submit,Yes,High,Abnormal_Others,,,,
FUNCTION,TC_WRITEKUDO_FUN_004,Viết Kudo,Check data validation,Hashtag,Required/Min,Verify at least 1 hashtag is required,Modal open,1 tag; 0 tags,"1. Add 1 hashtag and check
2. Remove all tags and try to submit",1 tag accepted; 0 tags blocks submit with required error,Yes,High,Abnormal_Others,,,,
